time,open,high,low,close,volume,return_1,return_5,return_10,log_return,high_low_ratio_5,close_position_5,high_low_ratio_10,close_position_10,high_low_ratio_20,close_position_20,high_low_ratio_50,close_position_50,spread,spread_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,macd,macd_signal,macd_hist,sar,tenkan_sen,kijun_sen,senkou_span_a,rsi_14,stoch_k,stoch_d,williams_r,cci,roc_5,roc_10,roc_20,atr_14,bb_upper,bb_middle,bb_lower,bb_width,bb_position,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_50,donchian_low_50,donchian_mid_50,hv_10,hv_20,volume_sma_5,volume_sma_10,volume_sma_20,volume_sma_50,obv,vpt,cmf_20,doji,hammer,resistance,support,dist_to_resistance,dist_to_support,trend_strength,volatility_regime
2025-12-16 14:00:00,4278.49,4294.87,4276.79,4294.49,22269,,,,,,,,,,,,,18.079999999999927,0.004210045896020233,,4294.49,,4294.49,,4294.49,,4294.49,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,False,False,,,,,,low
2025-12-16 15:00:00,4294.48,4313.25,4290.88,4313.01,34080,0.0043125027651713665,,,0.004303230573132668,,,,,,,,,22.36999999999989,0.0051866330010827445,,4300.663333333334,,4297.857272727272,,4296.25380952381,,4295.216274509804,1.4773789173796104,0.29547578347592207,1.1819031339036883,4276.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34080.0,146.97009423704017,,False,False,,,,,,low
2025-12-16 16:00:00,4313.01,4332.22,4311.39,4324.55,39204,0.002675625607174492,,,0.0026720524931042005,,,,,,,,,20.829999999999927,0.0048166861291926155,,4308.625555555556,,4302.710495867768,,4298.9486848072565,,4296.36661668589,3.5386030957552066,0.944101245931779,2.594501849823428,4277.5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73284.0,251.86532054070898,,False,False,,,,,,low
2025-12-16 17:00:00,4324.53,4335.05,4312.44,4319.74,40269,-0.0011122544542208068,,,-0.0011128734682495833,,,,,,,,,22.610000000000582,0.005234111312255039,,4312.330370370371,,4305.806769346355,,4300.928810063709,,4297.28321995311,4.729492658917479,1.701179528528919,3.02831313038856,4279.707232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33015.0,207.0759459236913,,False,False,,,,,,low
2025-12-16 18:00:00,4319.76,4323.19,4291.2,4300.57,37054,-0.004437767087834055,,,-0.004447643205635104,1.0136223663074408,0.4081702711980717,,,,,,,31.98999999999978,0.007438548843525343,4310.472,4308.410246913581,,4304.8546294652,,4300.894637676689,,4297.412113288283,4.079397670980143,2.1768231570191636,1.902574513960979,4283.02779808,,,,,,,,,,,,,,,,,,4335.05,4276.79,4305.92,,,,,,,,,,,,34575.2,,,,-4039.0,42.63892425108824,,False,False,,,,,,low
2025-12-16 19:00:00,4300.58,4310.89,4300.2,4303.61,29811,0.0007068830410852378,0.0021236514696738595,,0.0007066333169452607,1.0102939257215304,0.2882046637989482,,,,,,,10.69000000000051,0.002483961139601523,4312.296,4306.8101646090545,,4304.628333198799,,4301.1532436122425,,4297.655167669134,3.766082251131593,2.4946749758416495,1.2714072752899432,4286.1491301952,,,,,,,,,0.21236514696738595,,,,,,,,,4335.05,4290.88,4312.965,,,,,,,,,,,,36083.6,,,,25772.0,63.711814588880266,,False,False,,,,,,low
2025-12-16 20:00:00,4303.63,4313.52,4298.13,4311.32,30142,0.0017915192129398516,-0.0003918377189017219,,0.0017899163564745915,1.010218586875466,0.4588369441277018,,,,,,,15.390000000000327,0.003569672397316907,4311.9580000000005,4308.313443072703,,4305.844999889926,,4302.121506125362,,4298.1910434468155,4.092731625882152,2.81428630584975,1.278445320032402,4289.083182383488,,,,,,,,,-0.03918377189017219,,,,,,,,,4335.05,4291.2,4313.125,,,,,,,,,,,,35296.0,,,,55914.0,117.71178670531327,,False,False,,,,,,low
2025-12-16 21:00:00,4311.29,4315.96,4297.24,4310.69,26558,-0.00014612694024107586,-0.003204957741268055,,-0.00014613761782260884,1.010218586875466,0.44446978335232884,,,,,,,18.720000000000255,0.004342692237205704,4309.186,4309.105628715135,,4306.725909000848,,4302.937553161042,,4298.681198605765,4.2517562741804795,3.1017802995158963,1.1499759746645832,4291.841191440479,,,,,,,,,-0.3204957741268055,,,,,,,,,4335.05,4291.2,4313.125,,,,,,,,,,,,32766.8,,,,29356.0,113.83094742639078,,True,True,,,,,,low
2025-12-16 22:00:00,4310.69,4314.5,4302.74,4304.72,20993,-0.0013849290948779736,-0.0034770611194191448,,-0.0013858889955421585,1.0074547912005964,0.42263207252267987,,,,,,,11.760000000000218,0.0027318850006504995,4306.181999999999,4307.643752476757,,4306.361198273421,,4303.107310002848,,4298.918014346716,3.851655855904937,3.251755410793705,0.5999004451112322,4294.43371995405,4305.92,,,,,,,,-0.3477061119419145,,,,,,,,,4323.19,4291.2,4307.195,,,,,,,,,,,,28911.6,,,,8363.0,84.75713093761748,,False,False,,,,,,low
2025-12-16 23:00:00,4304.71,4305.54,4300.7,4302.27,8444,-0.0005691427084687506,0.0003952964374491774,,-0.0005693047316591804,1.0043562844988878,0.26869658119661255,1.0136223663074408,0.4373498111912183,,,,,4.8400000000001455,0.0011249875065953892,4306.522,4305.852501651172,4308.497,4305.61734404189,,4303.027566193053,,4299.049464764491,3.2988517577596213,3.2611746801868886,0.03767707757273264,4296.870696756807,4312.965,,,,,,,,0.03952964374491774,,,,,,,,,4315.96,4297.24,4306.6,4335.05,4276.79,4305.92,,,,,,,,,23189.6,28882.4,,,-81.0,79.95128990730734,,False,False,,,,,,low
2025-12-17 01:00:00,4302.51,4309.17,4301.51,4307.94,7955,0.001317908917850108,0.0010061320612229085,0.003131920204727301,0.0013170412381571038,1.0043562844988878,0.5715811965811791,1.0102939257215304,0.3862350011319779,,,,,7.6599999999998545,0.0017781120442717064,4307.388,4306.548334434115,4309.842,4306.039645125183,,4303.49541703181,,4299.398113205099,3.2804570739381234,3.265031158937136,0.015425915000987445,4299.161454951399,4313.125,,,,,,,,0.10061320612229085,0.3131920204727301,,,,,,,,4315.96,4297.24,4306.6,4335.05,4290.88,4312.965,,,,,,,0.03866855575850411,,18818.4,27451.0,,,7874.0,90.43525534880496,,False,False,,,,,,low
2025-12-17 02:00:00,4307.94,4315.04,4307.54,4313.23,10446,0.0012279651062920838,0.0004430197712068651,5.10084604485872e-05,0.0012272117737885666,1.0043562844988878,0.8541666666666434,1.010218586875466,0.5023945267958851,,,,,7.5,0.0017388360926730085,4307.77,4308.77555628941,4309.864,4307.346982375149,,4304.422520171637,,4299.940540138233,3.6506554604147823,3.3421560192326654,0.3084994411821169,4300.7,4313.125,,,,,,,,0.04430197712068651,0.00510084604485872,,,,,,,,4315.96,4297.24,4306.6,4335.05,4291.2,4313.125,,,,,,,0.0323200741988537,,14879.2,25087.6,,,18320.0,103.26257884913207,,False,False,,,,,,low
2025-12-17 03:00:00,4313.24,4326.79,4311.42,4326.67,33428,0.0031159942780700778,0.0037070631383839814,0.0004902244164133318,0.003111149629222725,1.0060664542981375,0.995400536604067,1.010218586875466,0.8088939566704666,,,,,15.36999999999989,0.0035523855528616444,4310.965999999999,4314.740370859607,4310.075999999999,4310.8602583069405,,4306.541327774338,,4300.988754250459,4.971230772208401,3.6679709698278127,1.303259802380588,4301.51,4308.995,,,,,,,,0.37070631383839814,0.04902244164133318,,,,,,,,4326.79,4300.7,4313.745,4335.05,4291.2,4313.125,,,,,,,0.03339588164346001,,16253.2,24510.0,,,51748.0,207.42403557645864,,False,False,,,,,,low
2025-12-17 04:00:00,4326.68,4327.79,4311.15,4314.26,27120,-0.0028682566500333184,0.002216172015833795,-0.001268594869135553,-0.002872377980714511,1.0062989745855326,0.5005537098560475,1.0085267524235646,0.6302268379338701,,,,,16.640000000000327,0.003856976630986618,4312.874000000001,4314.580247239738,4309.528,4311.478393160223,,4307.276439414877,,4301.509195260245,4.959245836750597,3.9262259432123696,1.0330198935382273,4303.5224,4312.514999999999,,,,,,-35.68486096807395,78.55970315975146,0.2216172015833795,-0.1268594869135553,,,,,,,,4327.79,4300.7,4314.245,4327.79,4291.2,4309.495,,,,,,,0.03615771895004923,,17478.6,23195.1,,,24628.0,129.63691522755505,,False,False,,,,,,low
2025-12-17 05:00:00,4314.3,4325.17,4312.69,4323.74,24625,0.0021973640902495095,0.004990388794752443,0.005387657915113531,0.0021949534165496038,1.006109482484058,0.8458904109588957,1.0071092142863791,0.8674304418985218,,,,,12.480000000000473,0.0028863900234520285,4317.168,4317.633498159826,4311.844999999999,4313.707776222001,,4308.844397565841,,4302.38099152455,5.649579624220678,4.270896679414031,1.3786829448066467,4305.414056,4312.514999999999,,,62.174311162906925,,,-25.605614670591763,88.22821714329737,0.4990388794752443,0.5387657915113531,,15.632142857143013,,,,,,4327.79,4301.51,4314.65,4327.79,4297.24,4312.514999999999,,,,,,,0.028533768463263068,,20714.8,21952.2,,,49253.0,183.74700594994923,,False,False,,,,,,low
2025-12-17 06:00:00,4323.74,4331.59,4320.58,4329.66,17431,0.0013691850111245962,0.005041852950598225,0.006053057781722826,0.0013682485320385426,1.005583233121457,0.9197505197505083,1.0079935028064526,0.9438136826783036,,,,,11.010000000000218,0.002542924848602481,4321.512,4321.64233210655,4314.45,4316.608180545273,,4310.826835892904,,4303.450756562804,6.598307467689665,4.736378837069158,1.8619286306205067,4307.1922126399995,4314.415,,,64.0805803340692,,,-12.291904218928808,124.20166645519092,0.5041852950598225,0.6053057781722826,,15.301989795918528,,,,,,4331.59,4307.54,4319.5650000000005,4331.59,4297.24,4314.415,,,,,,,0.028835037924373797,,22610.0,20714.2,,,66684.0,207.61326987886207,,False,False,,,,,,low
2025-12-17 07:00:00,4329.65,4342.35,4328.03,4333.92,25843,0.0009839109768434717,0.004796869167654094,0.005242014046742183,0.000983427253705963,1.0072370481194115,0.7298076923076893,1.0104974355632919,0.8131234759476794,,,,,14.320000000000618,0.0033041680510947635,4325.65,4325.734888071034,4316.71,4319.755784082496,,4313.026184855484,,4304.645628854459,7.606247430890107,5.310352555833348,2.295894875056759,4308.8636798816,4321.525,,,65.4306649254516,,,-16.480938416422678,161.8767529449553,0.4796869167654094,0.5242014046742183,,15.231847667638677,,,,,,4342.35,4311.15,4326.75,4342.35,4297.24,4319.795,,,,,,,0.028182277113656767,,25689.4,20284.3,,,92527.0,233.0404812534279,,False,False,,,,,,low
2025-12-17 08:00:00,4333.93,4337.72,4324.87,4328.73,24216,-0.0011975301805294825,0.0004761167364275565,0.004184944869614737,-0.0011982477927615352,1.0072370481194115,0.563461538461523,1.009684469970005,0.6729891956782563,,,,,12.850000000000364,0.002968538116260512,4326.062,4326.733258714023,4318.514,4321.387459703859,,4314.521786297819,,4305.590113997421,7.895246006833986,5.827331246033476,2.0679147608005097,4311.542585491072,4321.525,,,62.35563182129227,81.53319712741416,79.62652824652274,-26.62756598240597,114.54902077475353,0.04761167364275565,0.41849448696147373,,15.061715691378797,,,,,,4342.35,4311.15,4326.75,4342.35,4300.7,4321.525,,,,,,,0.029352631562464357,,23847.0,20050.1,,,68311.0,204.04109040172597,,False,False,,,,,,low
2025-12-17 09:00:00,4328.71,4328.76,4315.6,4317.95,22411,-0.002490337812707133,0.0008553031110780651,0.003073370625731764,-0.002493443861730312,1.006877378156093,0.17734322319622667,1.009684469970005,0.4141656662665012,,,,,13.159999999999854,0.0030477425630217707,4326.8,4323.805505809349,4319.837,4320.76246703043,,4314.848282840884,,4306.074815409287,7.171752059133723,6.096215408653526,1.0755366504801973,4314.0071786517865,4321.93,,,56.42407127784625,67.60049779478913,77.00251416229628,-54.09000221680388,36.89920817917059,0.08553031110780651,0.3073370625731764,,14.925878856280303,,,,,,4342.35,4312.69,4327.52,4342.35,4300.7,4321.525,,,,,,,0.03168679986504145,,22905.2,20191.9,,,45900.0,148.23012968114642,,False,False,,,,,,low
2025-12-17 10:00:00,4317.91,4320.91,4308.36,4319.15,23556,0.00027790965620244634,-0.0010615809461254067,0.003923510146968789,0.00027787104646712096,1.0078893128707909,0.3174463077375623,1.0094943403595482,0.4319294809010616,1.0153292539498082,0.6461256863941338,,,12.550000000000182,0.00290566430894972,4325.882,4322.253670539566,4321.525,4320.469291206716,4315.011,4315.257970189372,,4306.587567746178,6.6189091991509486,6.200754166753011,0.4181550323979373,4342.35,4324.945,,,56.91538922207572,55.95086454247837,68.36151982156055,-51.42983817335497,-4.272043074130622,-0.10615809461254067,0.39235101469687894,,14.756173223688865,4336.127416267878,4315.0109999999995,4293.894583732121,0.00978742175529971,0.5980043191868727,4342.35,4308.36,4325.355,4342.35,4301.51,4321.93,4342.35,4276.79,4309.57,,,,0.03131283329401995,,22691.4,21703.1,25292.75,,69456.0,154.77656954265126,0.17034157500457678,True,True,4342.35,4276.79,0.5371427248417102,0.9807485269092223,,low
2025-12-17 11:00:00,4319.15,4323.28,4315.95,4316.9,17367,-0.0005209358322818547,-0.00294711363016964,0.0020798804068766774,-0.000521071566493789,1.0078893128707909,0.2512503677552159,1.0080811785845287,0.2688882505027166,1.0119952084420911,0.505537206139487,,,7.329999999999927,0.0016979777154902656,4323.33,4320.469113693044,4322.421,4319.820329169131,4316.1314999999995,4315.41435398086,,4306.991976854171,5.930853862137155,6.146774105829841,-0.21592024369268525,4341.6702000000005,4325.355,,,55.64845222334034,46.02083795167289,56.524066762980134,-56.41764575482243,11.27273720932817,-0.294711363016964,0.20798804068766774,0.5218314631073806,14.225732279139654,4335.035793984515,4316.131499999999,4297.227206015482,0.008759832263922776,0.5203260698503333,4342.35,4308.36,4325.355,4342.35,4307.54,4324.945,4342.35,4290.88,4316.615,,,,0.031152899194597312,0.03418677209313255,22678.6,22644.3,25047.65,,52089.0,145.7294769434123,0.10374207109768015,False,False,4342.35,4290.88,0.5895434223632868,0.602747341842515,,low
